"lfc.LB"	"lfc.high_pCA"	"lfc.low_pCA"	"lfc.glucose"	"lfc.acetate"
"PP_2124"	0	0.15996	0	0	0
"PP_1126"	0	0.15856	0	0	0
"fadH"	0	0.1581	0	-0.00051425	0
"tonB"	0	0.15741	0	0	0
"PP_5472"	0	0.15741	0	0	0
"rarD"	0	0.15608	0	0	0
"icd"	0.0088936	0.15	0	0	0
"ycfJ"	0	0.15471	0	0	0
"apaG"	0	0.15418	0	0	0
"PP_4463"	0	0.15376	0	0	0
"PP_2773"	0	0.15313	0	0	0
"PP_4248"	0	0.15226	0	0	0
"PP_1144"	0	0.15197	0	0	0
"mrpG"	0	0.15179	0	0	0
"trkH-I"	0	0.15154	0	0	0
"pvdA"	0	0.15137	0	0	0
"recJ"	0	0.15056	0	0	0
"PP_5587"	0	0.15032	0	0	0
"czcR-II"	0	0.14978	0	0	0
"PP_2944"	0	0.14828	0	0	0
"PP_0998"	0	0.14681	0	0	0
"PP_0255"	0	0.14669	0	0	0
"PP_2761"	0	0.14581	0	0	0
"PP_4671"	0	0.14578	0	0	0
"nhaP"	0	0.14513	0	0	0
"PP_1115"	0	0.14382	0	0	0
"PP_0672"	0	0.14354	0	0	0
"PP_3975"	0	0.14282	0	0	0
"PP_2358"	0	0.14188	0	0	0
"mrpF"	0	0.14169	0	0	0
"PP_2708"	0	0.14115	0	0	0
"PP_3077"	0	0.14092	0	0	0
"PP_1682"	0	0.14044	0	0	0
"PP_3022"	0	0.14537	-0.011618	0	0
"PP_3182"	0	0.14655	-0.015148	0	0
"PP_4593"	0	0.14886	0	0	-0.016023
"PP_2067"	0	0.15592	0	0	-0.023642
"PP_0351"	0	0.1396	0	0	0
"ygaY"	0	0.13908	0	0	0
"PP_1392"	0	0.13899	0	0	0
"PP_2294"	0	0.13831	0	0	0
"PP_4598"	0	0.13816	0	0	0
"PP_1909"	0	0.13759	0	0	0
"PP_2724"	0	0.1374	0	0	0
"PP_0769"	0	0.13694	0	0	0
"PP_3302"	0	0.13643	0	0	0
"PP_0891"	0	0.13596	0	0	0
"PP_5172"	0	0.13583	0	0	0
"PP_4954"	0	0.1352	0	0	0
"PP_2536"	0	0.13449	0	0	0
"PP_5629"	0	0.13413	0	0	0
"PP_0412"	0	0.13348	0	0	0
"PP_0609"	0	0.13322	0	0	0
"PP_1488"	0	0.13317	0	0	0
"PP_2323"	0	0.1314	0	0	0
"PP_0216"	0	0.13121	0	0	0
"PP_1700"	0	0.14579	0	-0.012462	0
"PP_0288"	0	0.14097	0	-0.017458	0
"PP_1975"	0	0.12865	0	-0.014984	0
"amaD"	0	0.13384	0	-0.018368	-0.0056448
"PP_4920"	0	0.12549	0	0.021662	0
"PP_5112"	0	0.12533	-0.025336	0.01649	0
"PP_2411"	0	0.16024	0	0	-0.04534
"PP_3005"	0	0.14825	0	0	-0.049542
"prmB"	0	0.13098	0	0	-0.047232
"trmE"	0	0.13066	0	0	-0.061181
"rbsA-I"	0	0.20439	0	0	-0.081001
"PP_3021"	0	0.18804	-0.015521	-0.057088	-0.057361
"PP_3649"	0	0.1733	0	-0.081448	-0.06793
"PP_0803"	0	0.14173	0	-0.059278	-0.046364
"PP_2269"	0	0.12048	0	0.049684	0
"mexC"	0	0.11281	-0.0093259	0.058125	-0.014337
"PP_1875"	0	0.096316	0	0.064675	0
"nikD"	0	0.10033	0	0.048332	0
"PP_3653"	0	0.074417	0	0.060449	0
"PP_4013"	0	0.073383	0	0.060129	0
"cdhR"	0	0.080716	0	0.044858	0
"yhhS"	0	0.067478	0	0.040631	0
"PP_3513"	0.033396	0.12034	0	0	0
"gph"	0.017836	0.11665	0	0	0
"xenA"	0.030747	0.096969	0	0	0
"PP_5552"	0	0.1292	0	0	0
"PP_2491"	0	0.12855	0	0	0
"PP_5023"	0	0.12801	0	0	0
"PP_4072"	0	0.12704	0	0	0
"PP_4704"	0	0.12678	0	0	0
"PP_5510"	0	0.12588	0	0	0
"PP_0026"	0	0.1256	0	0	0
"PP_0488"	0	0.12548	0	0	0
"PP_1938"	0	0.12526	0	0	0
"PP_2342"	0	0.1247	0	0	0
"PP_2400"	0	0.12436	0	0	0
"PP_4522"	0	0.12408	0	0	0
"PP_0730"	0	0.12408	0	0	0
"PP_1551"	0	0.12404	0	0	0
"PP_0176"	0	0.12349	0	0	0
"PP_0497"	0	0.12345	0	0	0
"putP"	0	0.1234	0	0	0
"urtC"	0	0.12243	0	0	0
"oplA"	0	0.12239	0	0	0
"ybdR"	0	0.12182	0	0	0
"PP_3889"	0	0.12142	0	0	0
"PP_0685"	0	0.12045	0	0	0
"PP_0278"	0	0.12038	0	0	0
"PP_4978"	0	0.11989	0	0	0
"PP_3293"	0	0.11967	0	0	0
"PP_1847"	0	0.11862	0	0	0
"PP_2728"	0	0.11792	0	0	0
"PP_4592"	0	0.11773	0	0	0
"betB"	0	0.11748	0	0	0
"PP_1273"	0	0.11726	0	0	0
"pstA"	0	0.11715	0	0	0
"cobW"	0	0.1163	0	0	0
"glgX"	0	0.1149	0	0	0
"ooxA"	0	0.11481	0	0	0
"PP_0758"	0	0.11987	0	-0.011585	0
"PP_2445"	0	0.11912	0	0	-0.011515
"PP_2260"	0	0.11743	0	0	-0.017066
"PP_2043"	0	0.1084	0.015947	0	0
"PP_2462"	0	0.11378	0	0	0
"PP_2649"	0	0.11313	0	0	0
"pilF"	0	0.11299	0	0	0
"PP_2609"	0	0.11264	0	0	0
"PP_3816"	0	0.1123	0	0	0
"PP_0772"	0	0.11154	0	0	0
"PP_0759"	0	0.11142	0	0	0
"PP_4759"	0	0.11084	0	0	0
"PP_5443"	0	0.1105	0	0	0
"aroH"	0	0.11008	0	0	0
"pagL-II"	0	0.10972	0	0	0
"pmbA"	0	0.10874	0	0	0
"mazG"	0	0.10825	0	0	0
"PP_0904"	0	0.10807	0	0	0
"PP_1942"	0	0.10847	0	-0.0013003	0
"estC"	0	0.10775	0	0	0
"PP_2839"	0	0.10754	0	0	0
"PP_1135"	0	0.10729	0	0	0
"PP_3090"	0	0.10673	0	0	0
"PP_0189"	0	0.10656	0	0	0
"PP_5370"	0	0.10618	0	0	0
"PP_4911"	0	0.10625	0	-0.00010144	0
"PP_2588"	0	0.10535	0	0	0
"PP_2751"	0	0.10473	0	0	0
"PP_0650"	0	0.10447	0	0	0
"PP_0649"	0	0.10426	0	0	0
"purT"	0	0.10284	0	0	0
"PP_3405"	0	0.10218	0	0	0
"PP_4799"	0	0.10616	0	-0.018955	0
"modB"	0	0.10066	0	0.01203	0
"bdhA"	0	0.10123	0	0	0
"nhaA-II"	0	0.10049	0	0	0
"PP_2034"	0	0.10049	0	0	0
"PP_1570"	0	0.099419	0	0	0
"PP_0101"	0	0.098346	0	0	0
"PP_3788"	0	0.097862	0	0	0
"PP_3544"	0	0.09777	0	0	0
"PP_4261"	0	0.097521	0	0	0
"tdcG-II"	0	0.097248	0	0	0
"gstB"	0	0.096304	0	0	0
"livK"	0	0.095903	0	0	0
"PP_2200"	0	0.095879	0	0	0
"PP_3955"	0	0.095654	0	0	0
"PP_2033"	0	0.095009	0	0	0
"PP_1669"	0	0.094759	0	0	0
"PP_0195"	0	0.094327	0	0	0
"PP_0913"	0	0.093435	0	0	0
"PP_4870"	0	0.093183	0	0	0
"PP_2508"	0	0.09309	0	0	0
"PP_3588"	0	0.092861	0	0	0
"PP_3784"	0	0.092853	0	0	0
"PP_2987"	0	0.09239	0	0	0
"PP_1146"	0	0.091769	0	0	0
"PP_5167"	0	0.091236	0	0	0
"glcC"	0	0.090026	0	0	0
"nfrB"	0	0.089992	0	0	0
"PP_1310"	0	0.099659	-0.015564	0	0
"phoP"	0	0.086188	0	0.0083146	0
"brnQ"	0	0.087325	0	0	0
"selB"	0	0.085061	0	0	0
"PP_5332"	0	0.083879	0	0	0
"anmK"	0	0.083734	0	0	0
"PP_0887"	0	0.083268	0	0	0
"ugpQ"	0	0.081603	0	0	0
"PP_4162"	0	0.080216	0	0	0
"gcvP-II"	0	0.079093	0	0	0
"gllB"	0	0.078615	0	0	0
"dsbD-I"	0	0.079893	0	-0.0046156	0
"PP_5371"	0	0.07584	0	0.017555	0
"PP_2041"	0	0.065234	0	0.0134	0
"PP_0874"	0	0.075838	0	0	0
"PP_0992"	0	0.075174	0	0	0
"PP_3397"	0	0.072531	0	0	0
"ldhA"	0	0.070055	0	0	0
"PP_2011"	0	0.068768	0	0	0
"fadD-II"	0	0.068092	0	0	0
"alkB"	0	0.067423	0	0	0
"cysZ"	0	0.067284	0	0	0
"PP_2906"	0	0.066915	0	0	0
"PP_0358"	0	0.0658	0	0	0
"gntZ"	0	0.066067	0	0	-0.015974
"PP_5147"	0	0.071802	0	-0.019248	0
"fieF"	0	0.081474	0	0	-0.031589
"hbdH"	0	0.087486	0	0.049817	-0.090659
"bcsG"	0	0.10654	0	0	-0.074122
"PP_5345"	0	0.077462	0	0	-0.097493
"ccoQ-I"	0	0.071268	0	0	-0.054707
"yfiP"	0	0.060331	0	0	-0.064304
"cigR"	0	0.078239	0	0	-0.0723
"nirB"	-0.015596	0.079333	0	0	-0.069677
"rbsC"	0	0.13344	0	-0.030107	0
"PP_0129"	0	0.13301	0	-0.036871	0
"PP_0971"	0	0.1511	0	-0.05587	0
"PP_5122"	0	0.14192	0	-0.053882	0
"iscX"	0	0.16647	0	-0.084633	0
"yeiW"	0	0.13757	0	-0.084284	0
"PP_1214"	-0.023597	0.13666	0	-0.092098	0
"PP_3396"	0	0.13771	0	-0.088426	-0.024828
"PP_2176"	0.027892	0.11214	0	-0.05965	0
"PP_2276"	0	0.11504	0	-0.031369	0
"ybgF"	0	0.11625	0	-0.043642	0
"PP_2217"	0	0.10179	0	-0.035791	0
"PP_2359"	0	0.079775	0	-0.040611	0
"PP_3261"	0	0.07839	0	-0.055787	0
"mlaE"	0	0.10491	0	-0.081069	0.00037133
"pvdL"	0	0.091873	0	-0.094472	0
"PP_2004"	0.034532	0.071748	-0.017141	-0.092005	0
"PP_5485"	0	0.07406	0	-0.087558	0
"PP_1867"	0	0.057905	-0.0063886	-0.084614	0
"PP_3229"	0.00077303	0.059296	0	-0.06975	-0.019122
"PP_1571"	0	0.069032	-0.013779	-0.077671	-0.017057
"PP_1736"	0.061861	0.090713	0	-0.091338	-0.074012
"fimV"	0	0.12195	0	-0.045382	-0.081064
"PP_2050"	0	0.127	0	-0.085024	-0.092136
"PP_2735"	0	0.07393	0	-0.067164	-0.10574
"wzy"	0	0.2731	0	0	-0.17579
"cmpX"	0	0.25694	0	0.017017	-0.19502
"murI"	0	0.2296	-0.083087	-0.031252	-0.18187
"PP_3064"	0	0.21379	-0.097576	0	-0.19078
"prmC"	0	0.12005	-0.057176	-0.018511	-0.17063
"quiP"	0	0.14616	-0.16774	0	-0.1663
"murJ"	0	0.1446	-0.10817	-0.12504	-0.18179
"PP_4785"	0	0.25329	0	-0.21437	-0.15712
"PP_1324"	0	0.16857	0	-0.19644	-0.2477
"thiD"	0	0.14995	0	-0.23509	-0.19804
"nicA"	0	0.12075	0	-0.12307	0
"PP_2631"	0	0.14186	0	-0.14996	0
"rhtA"	0	0.093415	0	-0.18419	0
"PP_2871"	0	0.12705	0	-0.14974	-0.04081
"PP_5292"	0	0.14867	-0.0054508	-0.18777	-0.038459
"PP_2319"	0.10002	0.11722	0	-0.2267	-0.062896
"ligA"	0	0.25878	0	-0.29315	0
"PP_1149"	0	0.21683	0	-0.29916	0
"PP_5331"	0	0.1469	0	-0.326	-0.011188
"polA"	0	0.081657	0	-0.28085	0
"tal"	0	0.084902	-0.059054	-0.31642	0
"srmB"	0	0.15414	-0.16779	-0.10205	0
"PP_2503"	0	0.10132	-0.094545	-0.12281	-0.0077525
"yfgD"	0	0.13629	-0.1139	-0.17298	-0.019131
"map"	0	0.26903	-0.17705	-0.29452	-0.066393
"PP_4738"	0	0.07457	0	0.10941	0
"PP_0899"	0	0.06956	0	0.11045	0
"liuC"	0	0.06032	0	0.09807	0
"PP_1587"	0	0.089164	0	0.088488	0
"PP_3823"	0	0.084456	0	0.092597	0
"PP_2900"	0	0.068765	0	0.087565	0
"PP_1437"	0	0.070687	0	0.078515	0
"yqeF"	0	0.046845	0	0.10229	0
"PP_5068"	0	0.039685	0	0.10272	0
"PP_1723"	0	0.052367	0	0.088814	0
"PP_1924"	0	0.045062	0	0.086504	0
"PP_3188"	0	0.046507	-0.018038	0.088637	0
"PP_5133"	0	0.027657	0	0.081629	0
"cobI"	0	0.059808	0	0.066352	0
"ydcV"	0	0.050947	0	0.070886	-0.0039852
"opuA"	0	0.039926	0	0.06261	0
"arcB"	0.023735	-0.012916	0	0.10271	0.048871
"nicC"	0	0	0	0.07147	0.077133
"PP_1122"	0	0	0	0.081159	0.049631
"PP_3554"	0	0	0	0.077821	0.047331
"PP_3652"	0	0	0	0.042601	0.05362
"ccmB"	0.072448	0	0	0.088836	0
"pvdJ"	0.063929	0	0	0.090838	0
"cysK"	0.063045	0	-0.019338	0.073605	0
"PP_0521"	0.054052	0	0	0.050621	0
"pvdP"	0.059341	0	0	0.03569	0
"PP_3130"	-0.052326	0	0	0.10728	0.088379
"PP_2907"	-0.076363	0.032561	0	0.058615	0.055046
"PP_2534"	-0.060873	-0.0094131	0	0.12076	0
"xcpZ"	-0.075805	0	0	0.10714	0
"PP_2694"	-0.055339	0	0	0.084773	0
"oprG"	-0.088185	0	0	0.073167	0
"PP_0969"	-0.012099	0.080981	0	0.13791	-0.043167
"hmp"	0	0.076676	0	0.13348	-0.096223
"PP_3518"	0	0.098563	-0.071656	0.091436	-0.094987
"PP_1459"	0	0.056959	-0.042546	0.095021	-0.094026
"tas"	0	0	0	0.15549	-0.085938
"purP"	0	0	-0.0037897	0.13598	-0.083217
"PP_3467"	0	0	0	0.12991	-0.081097
"PP_1504"	0	0	0	0.1303	-0.093825
"PP_1536"	0	0	0	0.16149	-0.11793
"ccmC"	0	0	-0.034236	0.16788	-0.12387
"cobD"	-0.010088	0	0	0.10143	-0.083506
"PP_0511"	0	0	-0.0013065	0.093592	-0.073626
"cobO"	0	0	-0.0053667	0.085708	-0.085942
"PP_mr23"	0	0	-0.0063485	0.13057	-0.11806
"PP_3181"	0	0	0	0.1257	-0.12381
"PP_1832"	0	-0.0068266	0	0.09961	-0.10395
"algC"	0	0	0	0.087223	-0.11907
"glcG"	0	-0.006036	-0.021076	0.089557	-0.10842
"PP_1313"	0.0077408	0	0	0.047067	0
"PP_3087"	0	0	0	0.048912	0
"PP_2064"	0	0	0	0.048824	0
"PP_5037"	0	0	0	0.048537	0
"PP_3638"	0	0	0	0.047975	0
"PP_3806"	0	0	0	0.047284	0
"PP_5539"	0	0	0	0.04656	0
"moaA"	0	0	0	0.046318	0
"PP_1548"	0	0	0	0.046079	0
"PP_3671"	0	0	0	0.039904	0.00464
"PP_3267"	0	0	0	0.045114	0
"PP_0548"	0	0	0	0.044624	0
"hemBB"	0	0	0	0.044487	0
"PP_2989"	0	0	0	0.044026	0
"PP_4459"	0	0	0	0.043481	0
"PP_3711"	0	0	0	0.04239	0
"PP_2480"	0	0	0	0.042092	0
"PP_3795"	0	0	0	0.041911	0
"PP_3866"	0	0	0	0.041769	0
"ybaK"	0	0	0	0.041532	0
"pchP"	0	0	0	0.041362	0
"PP_0970"	0	0	0	0.041227	0
"PP_2146"	0	0	0	0.040891	0
"PP_3800"	0	0	0	0.040811	0
"PP_1347"	0	0	0	0.040692	0
"PP_1026"	0	0	0	0.040489	0
"ctpH"	0	0	0	0.055401	0
"paaF"	0	0	0	0.05539	0
"bioA"	0	0	0	0.055083	0
"galP-IV"	0	0	0	0.054476	0
"trxC"	0	0	0	0.054016	0
"PP_3205"	0	0	0	0.053109	0
"PP_4316"	0	0	0	0.052933	0
"PP_0895"	0	0	0	0.052804	0
"PP_3812"	0	0	0	0.052117	0
"yajD"	0	0	0	0.051796	0
"PP_2617"	0	0	0	0.051409	0
"PP_1147"	0	0	0	0.051315	0
"PP_3121"	0	0	0	0.050193	0
"rutR"	0	0	0	0.049564	0
"PP_2662"	0	0	-0.0059658	0.054346	0
"PP_4198"	0	-0.012852	0	0.053232	0
"PP_1425"	0	0	-0.023159	0.044953	0
"PP_3879"	0	0	-0.027074	0.035783	0
"PP_2578"	0	0	-0.02272	0.030156	0
"mdtA"	0	0	0	0.039669	0
"PP_0171"	0	0	0	0.039132	0
"PP_3088"	0	0	0	0.0391	0
"atoB"	0	0	0	0.03904	0
"PP_0662"	0	0	0	0.038874	0
"yjdM"	0	0	0	0.038553	0
"fimD"	0	0	0	0.038234	0
"csiD"	0	0	0	0.038006	0
"livM"	0	0	0	0.037468	0
"csgF"	0.00156	0	0	0.035154	0
"PP_2600"	0	0	0	0.035502	0
"PP_4196"	0	0	0	0.035397	0
"algX"	0	0	0	0.035071	0
"PP_3633"	0	0	0	0.034685	0
"PP_2349"	0	0	0	0.036299	-0.0081497
"quiC"	0	0	0	0.032519	0
"PP_3915"	0	0	0	0.031995	0
"tnpB"	0	0	0	0.030952	0
"PP_4819"	0	0	0	0.030692	0
"PP_0207"	0	0	0	0.030109	0
"PP_2628"	0	0	0	0.028285	0
"PP_2189"	0	0	0	0.027487	0
"ssuD"	0	0	0	0.027174	0
"PP_4686"	0	0	0	0.02709	0
"PP_3807"	0	0	0	0.02692	0
"PP_0798"	0	0	0	0.026447	0
"ycaC-II"	0	0	0	0.026329	0
"cti"	0	0	0	0.026064	0
"pvdY"	0	0	0	0.025689	0
"PP_1845"	0	0	0	0.025569	0
"PP_4986"	0	0	0	0.024658	0
"PP_4420"	0	0	0	0.023081	0
"PP_3223"	0	0	0	0.022358	0
"ygiD"	0	0	0	0.021544	0
"PP_5627"	0	0	0	0.020998	0
"PP_2039"	0	0	0	0.020916	0
"dsbG"	0	0	0	0.020628	0
"PP_2701"	0	0	0	0.020198	0
"nicS"	0	0	0	0.020925	-0.0062855
"PP_2212"	0	0	0	0.018961	0
"PP_4232"	0	0	0	0.017926	0
"PP_0585"	0	0	0	0.017353	0
"PP_5242"	0	0	0	0.016416	0
"PP_1566"	0	0	0	0.016413	0
"PP_0429"	0	0	0	0.016396	0
"PP_0537"	0	0	0	0.016113	0
"insN"	0	0	0	0.015546	0
"PP_0139"	0	0	0	0.01533	0
"PP_2263"	0	0	0	0.015152	0
"folEB"	0	0	0	0.014599	0
"PP_3212"	0	0	-0.011473	0.027107	0
"PP_3890"	0	-0.0080704	-0.01081	0.023359	0
"ureJ"	-0.015806	0	0	0.021838	0
"PP_2800"	0	-0.030565	0	0.05532	0
"PP_4331"	0	-0.035167	0	0.052617	0
"pfeS-II"	0	-0.035067	0	0.053699	-0.0083575
"PP_2948"	0	-0.041858	0	0.051052	0
"yveA"	0	-0.02624	0	0.031693	0
"sfnB"	0	-0.030498	0	0.031526	0
"nicR"	0	-0.041917	0	0.02618	0
"PP_0546"	0	-0.055798	0	0.043649	0
"mgtA"	0	-0.05085	0	0.038096	0
"ccoN-II"	0	-0.05523	0	0.030578	0
"ltg"	0	0	0	0.021417	-0.024521
"PP_0120"	0	0	0	0.0089695	-0.017059
"PP_5298"	0	0	-0.00037121	0.0097634	-0.021901
"PP_0138"	0	0.01828	0	0	-0.035385
"PP_4988"	0	0	0	0	-0.030469
"potF-IV"	0	0	0	0	-0.03056
"ydcP"	0	0	0	0	-0.031835
"PP_3253"	0	-0.0033911	0	0	-0.030634
"xcpV"	0	0	0	0	-0.033371
"PP_4080"	0	0	0	0	-0.0337
"PP_0109"	0	0	0	0	-0.034439
"PP_5375"	0	0	0	0	-0.034665
"PP_2111"	0	0	0	0	-0.035215
"tauB-II"	0	0	0	0	-0.036393
"PP_2813"	0	0	0	0	-0.037462
"PP_2357"	0	0	-0.00018728	0	-0.037613
"PP_2037"	0	0	-0.0055008	0	-0.033446
"PP_2429"	0	0	0	0	-0.038841
"PP_0332"	0	0	0	0	-0.039947
"PP_0801"	0	0	0	0	-0.040468
"rfbA"	0	0	0	0	-0.040644
"PP_4109"	0	0	0	0	-0.042596
"plsB"	0	0	0	0	-0.044462
"plsC"	0	0	0	0	-0.007249
"spuI"	0	0	0	0	-0.0072492
"nikE"	0	0	0	0	-0.0077572
"PP_1540"	0	0	0	0	-0.0079688
"PP_3522"	0	0	0	0	-0.008166
"soxG"	0	0	0	0	-0.0084199
"gpW"	0	0	0	0	-0.0092033
"PP_2049"	0	0	0	0	-0.009266
"PP_5057"	0	0	0	0	-0.009762
"PP_3640"	0	0	0	0	-0.010237
"PP_3856"	0	0	0	0	-0.010402
"PP_1189"	0	0	0	0	-0.01085
"PP_3720"	0	0	0	0	-0.011426
"PP_0350"	0	-0.0006973	0	0	-0.011092
"gdhB"	0	0	-0.0069989	0	-0.0092183
"PP_1934"	0	0	0	-0.0080458	-0.010529
"puuR"	0	0	0	0	-0.011938
"PP_2678"	0	0	0	0	-0.012262
"PP_3910"	0	0	0	0	-0.0131
"xenB"	0	0	0	0	-0.013985
"paaG"	0	0	0	0	-0.014319
"PP_2875"	0	0	0	0	-0.01433
"PP_1969"	0	0	0	0	-0.014722
"PP_0405"	0	0	0	0	-0.015061
"PP_1852"	0	0	0	0	-0.015309
"gshB"	0	0	0	0	-0.015435
"PP_4705"	0	0	0	0	-0.017175
"PP_4758"	0	0	0	0	-0.017424
"PP_1794"	0	0	0	0	-0.017789
"aqpZ"	0	0	0	0	-0.018405
"yhdX"	0	0	0	0	-0.018649
"PP_3471"	0	0	0	0	-0.018806
"PP_0584"	0	-0.010652	0	0	-0.010002
"yhdW"	0	-0.011352	0	0	-0.020398
"PP_4542"	0	0	0	0	-0.019584
"PP_1963"	0	0	0	0	-0.019585
"PP_2251"	0	0	0	0	-0.019921
"PP_3567"	0	0	0	0	-0.021079
"PP_4531"	0	0	0	0	-0.022054
"PP_2697"	0	0	0	0	-0.022608
"PP_2040"	0	0	0	0	-0.022963
"PP_2091"	0	0	0	-0.0046368	-0.022909
"PP_3553"	0	0	0	0	-0.02366
"PP_5461"	0	0	0	0	-0.024099
"PP_5632"	0	0	0	0	-0.024443
"PP_2891"	0	0	0	0	-0.02514
"PP_3851"	0	0	0	0	-0.025304
"spuB"	0	0	0	0	-0.02539
"PP_5300"	0	0	0	0	-0.025512
"PP_5129"	0	0	0	0	-0.026858
"PP_4254"	0	0	0	0	-0.027637
"PP_2185"	0	0	-0.00083862	0	-0.027903
"PP_4233"	0	0	-0.0098681	0	-0.022721
"PP_4948"	0	0	-0.013976	0	-0.022902
"PP_0569"	0	-0.013843	0	0	-0.031186
"PP_2572"	0	-0.014875	-0.010792	0	-0.02084
"bcsA"	0	0	0	0.040296	-0.052513
"PP_1388"	0	0	0	0.031654	-0.054369
"PP_0269"	0	-0.0050259	0	0.018132	-0.044779
"PP_5096"	0	0	0	0.014242	-0.052846
"PP_2855"	0.034754	0	0	0	-0.037486
"pilC"	0.029447	0	0	0	-0.061816
"PP_2316"	0	0	0	0	-0.046612
"frmA"	0	0	0	0	-0.04678
"PP_5460"	0	0	0	0	-0.046791
"PP_4955"	0	0	0	0	-0.046956
"PP_3369"	0	0	0	0	-0.047535
"acnA-II"	0	0	0	0	-0.049364
"PP_4118"	0	0	0	0	-0.049829
"PP_3476"	0	0.0067117	0	0	-0.052395
"PP_5077"	0	0	0	0	-0.051818
"PP_0094"	0	0	0	0	-0.052077
"PP_1508"	0	0	0	0	-0.052428
"glpF"	0	0	0	0	-0.052574
"PP_5546"	0	0	0	0	-0.052866
"PP_2377"	0	0	0	0	-0.052916
"ycaC-IV"	0	0	0	0	-0.053222
"PP_3857"	0	0	0	0	-0.054257
"PP_2405"	0	0	0	0	-0.054733
"PP_0279"	0	0	0	-0.013501	-0.049675
"PP_1253"	0	0	0	0	-0.056454
"PP_mr45"	0	0	0	0	-0.057032
"PP_5431"	0	0	0	0	-0.057372
"PP_3078"	0	0	0	0	-0.057599
"PP_5116"	0	0	0	0	-0.05782
"PP_4345"	0	0	0	0	-0.058887
"pilE"	0	0	0	0	-0.059507
"PP_4163"	0	0	0	0	-0.060512
"PP_1728"	0	0	0	0	-0.062437
"PP_3002"	0.0045923	0	0	-0.009604	-0.059558
"glgA"	0	-0.017649	0	0	-0.043337
"PP_3762"	0	-0.014955	0	0	-0.046196
"gbcB"	0	-0.029879	0	0	-0.046437
"PP_4085"	0	-0.019461	0	0	-0.067289
"pepN"	0	0.044887	0	0.045486	-0.045052
"PP_0663"	0	0.012989	0	0.08609	-0.019635
"PP_1574"	0	0	0	0.081486	-0.032604
"PP_3531"	0	0	-0.0096956	0.080977	-0.036717
"nirD"	0	0	0	0.06447	-0.040595
"alaC"	0	0	0	0.057174	-0.041883
"stcD"	0.0077725	0	0	0.040452	-0.027894
"PP_1363"	0	0	0	0.043906	-0.039242
"PP_2364"	0	0	0	0.069004	-0.061084
"atnUDX"	0	0	0	0.062823	-0.072279
"livG"	0	0	0	0.052601	-0.073568
"PP_2564"	0	0	0	0.046588	-0.069366
"PP_5190"	0	0	-0.040184	0.066514	-0.04851
"PP_3506"	0	-0.044018	0	0.042094	-0.062392
"PP_1820"	0	-0.053391	-0.014329	0.051661	-0.056831
"bkdAA"	0	-0.024025	0	0.032075	-0.094683
"PP_0208"	0	-0.045017	0	0.04774	-0.08973
"PP_3798"	0	0.063359	0	0	0
"PP_3050"	0	0.063298	0	0	0
"apaH"	0	0.061902	0	0	0
"PP_1091"	0	0.06105	0	0	0
"PP_4913"	0	0.059047	0	0	0
"PP_3391"	0	0.056562	0	0	0
"rsmJ"	0	0.052811	0	0	0
"PP_2167"	0	0.052625	0	0	0
"PP_3403"	0	0.052012	0	0	0
"PP_5714"	0	0.051993	0	0	0
"PP_2552"	0	0.049127	0	0	0
"PP_0617"	0	0.046241	0	0	0
"PP_2852"	0	0.052982	0	-0.009146	-0.002166
"gor"	0	0.051198	-0.02447	0	0
"PP_2556"	0	0.046349	-0.019709	0	0
"sfnA"	0	0.037218	0	0	0
"PP_2834"	0	0.034962	0	0	0
"dnaEB"	0	0.030319	0	0	0
"PP_3647"	0	0.029786	0	0	-0.00061478
"PP_4792"	0	0.039507	-0.0087283	0	0
"cyaY"	0	0.033034	-0.010192	0	0
"mexF"	0	0.026837	0	0	0
"PP_0726"	0	0.024745	0	0	0
"fkl"	0	0.024236	0	0	0
"PP_1190"	0	0.022118	0	-0.0020009	0
"gltR-II"	0	0.042398	0	0	-0.016115
"PP_0947"	0	0.031745	0	0	-0.022319
"PP_3227"	0	0.050874	-0.044184	-0.020689	0
"PP_1545"	0	0	0	0.016863	0.023721
"PP_3382"	0.0082034	0	0	0	0.035877
"PP_1550"	0	0	0	0	0.036081
"mrpD"	0	0	0	-0.001108	0.022029
"pcaY"	0	0	0	0.013929	0
"PP_1500"	0	0	-0.00011071	0.013275	0
"PP_2592"	0	0	0	0.012417	0
"PP_2437"	0	0	0	0.011749	0
"tauA"	0	0	0	0.010821	0
"PP_3658"	0	0	0	0.0095583	0
"PP_1446"	0	0	0	0.0079233	0
"PP_1058"	0	0	0	0.006588	0
"PP_5160"	0	0	0	0.006496	0
"PP_0889"	0	0	0	0.0061828	0
"PP_3019"	0	0	0	0.00594	0
"PP_1709"	0	0	0	0.0056105	0
"fusB"	0	0	0	0.0055952	0
"PP_2784"	0	0	0	0.0040944	0
"PP_4466"	0	0	0	0.0031921	0
"algB"	0	0	0	0.0029662	0
"PP_3629"	0	0	0	0.0028812	0
"PP_2676"	0.0092862	0	0	0	0
"PP_4579"	0.0087874	0	0	0	0
"PP_3292"	0.0080778	0	0	0	0
"qedH-II"	0.014848	0	-0.0067881	0	0
"PP_3817"	0	0.015282	0	0	0
"PP_4660"	0	0.013261	0	0	0
"PP_4291"	0	0.013036	0	0	0
"PP_3128"	0	0.011751	0	0	0
"PP_3914"	0	0.013127	-0.0027456	0	0
