"lfc.LB"	"lfc.high_pCA"	"lfc.low_pCA"	"lfc.glucose"	"lfc.acetate"
"PP_1030"	0	0	0	0.23764	0
"PP_4482"	0	0	0	0.23745	0
"ttcA"	0	0	0	0.23739	0
"PP_4448"	0	0	0	0.23719	0
"ureG"	0	-0.016717	0	0.24074	0
"PP_3043"	0	0	-0.022775	0.256	0
"hslV"	0	0	-0.030568	0.23608	0
"PP_2888"	0	0.027258	0	0.22084	0
"PP_5473"	0	0	0	0.2345	0
"rnhB"	0	0	0	0.23325	0
"PP_2811"	0	0	0	0.23275	0
"PP_0583"	0	0	0	0.23222	0
"PP_0369"	0	0	0	0.23121	0
"PP_2404"	0	0	0	0.23038	0
"envZ"	0	0	0	0.23034	0
"PP_mr31"	0	0	0	0.2301	0
"PP_0544"	0	0	0	0.22873	0
"PP_4669"	0	0	0	0.22492	0
"PP_3092"	0	0	0	0.22431	0
"glpR"	0	0	0	0.22274	0
"PP_1104"	0	0	0	0.22261	0
"PP_3763"	0	0	0	0.22245	0
"PP_0125"	0	0	0	0.2223	0
"PP_5092"	0	0	0	0.22223	0
"cusA"	0	0	0	0.22153	0
"PP_5571"	0	0	0	0.2207	0
"PP_5723"	0	0	0	0.21914	0
"PP_4246"	0	0	0	0.21905	0
"PP_3262"	0	0	0	0.21881	0
"algL"	0	0	0	0.21791	0
"PP_0211"	0	0	0	0.21709	0
"hsdR"	0	0	0	0.21589	0
"PP_1739"	0	0	0	0.21566	0
"tatC-I"	0	-0.00119	0	0.21651	0
"PP_2727"	-0.019354	0	0	0.21463	0
"bluB"	0	0	-0.013119	0.23668	-0.037174
"typA"	0	0.00019277	0	0.21526	-0.039792
"yijP"	0.042858	0	0	0.20116	0
"PP_5636"	0.019723	0	0	0.20905	0
"codB"	0	0	0	0.2149	0
"PP_5645"	0	0	0	0.21442	0
"gbcA"	0	0	0	0.21345	0
"PP_5451"	0	0	0	0.21335	0
"PP_0550"	0	0	0	0.21317	0
"glcE"	0	0	-0.005426	0.21306	0
"PP_2494"	0	0	0	0.211	0
"PP_1718"	0	0	0	0.21054	0
"PP_2538"	0	0	0	0.21049	0
"PP_2610"	0	0	0	0.20968	0
"PP_1648"	0	0	0	0.20919	0
"PP_5517"	0	0	0	0.20891	0
"yicG"	0	0	0	0.20796	0
"PP_2719"	0	0	0	0.20756	0
"PP_mr34"	0	0	0	0.20635	0
"PP_2730"	0	0	0	0.20584	0
"PP_mr61"	0	0	0	0.20565	0
"PP_4151"	0	0	0	0.20545	0
"PP_5425"	0	0	0	0.20508	0
"vgrG-I"	0	0	0	0.2044	0
"treSB"	0	0	0	0.20382	0
"lexA-II"	0	0	0	0.20371	0
"PP_0923"	0	0	0	0.20318	0
"PP_3753"	0	0	0	0.20298	0
"lip"	0	0	0	0.20251	0
"PP_0040"	0	0	0	0.20229	0
"PP_2624"	0	0	0	0.20221	0
"PP_1497"	0	0	0	0.20215	0
"uvrC"	0	-0.014748	0	0.21302	-0.0096174
"PP_2202"	0	0	0	0.20006	-0.016771
"PP_1740"	0	0	0	0.20166	0
"PP_0134"	0	0	0	0.20159	0
"PP_3303"	0	0	0	0.20151	0
"PP_2331"	0	0	0	0.20146	0
"PP_0071"	0	0	0	0.20104	0
"yqaE"	0	0	0	0.2007	0
"PP_3840"	0	0	0	0.20005	0
"PP_0090"	0	0	0	0.19922	0
"PP_4454"	0	0	0	0.19793	0
"PP_3330"	0	0	0	0.19778	0
"queG"	0	0	0	0.19748	0
"ybhP-II"	0	0	0	0.19737	0
"djlA"	0	0	0	0.19709	0
"PP_2739"	0	0	0	0.19684	0
"PP_4685"	-0.0087445	0	0	0.19865	0
"PP_2788"	0	0	0	0.19498	0
"PP_0306"	0	0	0	0.19476	0
"rimO"	0	0	0	0.19465	0
"PP_mr14"	0	0	0	0.19434	0
"PP_2921"	0	0	0	0.19431	0
"PP_5008"	0	0	0	0.1942	0
"dgkA-I"	0	0	0	0.19408	0
"PP_5623"	0	0	0	0.19386	0
"PP_0251"	0	0	0	0.19384	0
